Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Руководитель проектов финансово-технического надзора,150000.0,Инфо Контрактор,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Администратор ИТ-проекта,,"Объединенная двигателестроительная корпорация, управляющая компания",Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проекта (мебель, индивидуальное производство)",150000.0,LOFTMARK,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер по продажам,130000.0,ProfiStaff,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов в благотворительный фонд,30000.0,"Оздоровительный, Лечебно-Профилактический Центр Мелиссена",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,Не указаны,Москва,True
Руководитель проекта (строительство),180000.0,Альфа Групп,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник руководителя проектов по ведению строительных объектов (магазины и офисы под ключ),150000.0,АрдиСтрой,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер по работе с клиентами, менеджер по рекламе и pr, проджект-менеджер",70000.0,Студия Звукоград,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Младший менеджер проектов (мерч, сувенирная продукция)",80000.0,ЦЕХ,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов / Ведущий специалист отдела проектных продаж кровельных систем,200000.0,ЛИНО,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта / прораб ИЖС,120000.0,Костюков Сергей,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Интернет-маркетолог/Project-manager в рекламное агентство (Удаленно),110000.0,DF301,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Проектный менеджер (по работе с архитектурными, дизайнерскими бюро, застройщиками) сантехника",300000.0,Керамика Нова Рус,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (отделочные работы),130000.0,АС-Групп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Заместитель руководителя проекта (служба технического заказчика),160000.0,Город Групп,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Персональный бизнес-ассистент/Руководитель проектов в области производства, логистики и продаж.",100000.0,Вектор,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер проектов (строительство и реконструкция ВЛ, ВЛЗ, КЛ, ТП, РП)",120000.0,Энергоресурс,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Заместитель руководителя проекта (промышленное строительство),,Концерн Отечественные Технологии,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по комплексным проектам/менеджер по продукту (Оснащение ЛПУ медицинским оборудованием),150000.0,Мед Бизнес Груп,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер по проектным продажам/ Руководитель проекта (пластиковые трубопроводы, крепежные системы)",300000.0,Группа Компаний Агпайп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (Внутренние Инженерные Системы),195000.0,ХитингРус,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер/Менеджер отдела продаж/менеджер по работе с клиентами,150000.0,Астория-СЛК,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Прораб / руководитель проектов,,СК+,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник руководителя проекта (проектирование),90000.0,Москапстрой,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта строительства,200000.0,Киевская Площадь,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов в строительную компанию,120000.0,МЕРУНГ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов по информационной безопасности,190000.0,Технопром,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта,200000.0,АМДтехнологии,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (промышленное строительство),,Концерн Отечественные Технологии,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проекта / Исполнительный менеджер (Экспедиция, туризм)",200000.0,IVALAR partners,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов (демонтаж объектов по программе реновации жилищного фонда),150000.0,Ретерра,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (жилищное строительство),,Джи Три Групп,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер проектов (электродвигатели, КИПиА, трансформаторы, подшипники)",90000.0,БелИнтерФлоу,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер сопровождения проектов (менеджер по закупкам),100000.0,НПО РЕСУРСУМ,Среднее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта / начальник участка (строительство),150000.0,АСК ХОУМ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов по продажам (ИТ),300000.0,ОБИТ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Младший координатор онлайн-проектов (менеджер по документообороту),55000.0,Мед.Студио,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов учебного центра,150000.0,Группа компаний SRG,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта по аутсорсингу персонала,60000.0,Калина Сервис,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Ассистент руководителя проекта / менеджер Маркетплейса,50000.0,"НеоАрт, Группа Компаний",Не требуется,Не требуется,Нет опыта,Не указано,Частичная занятость,Не указаны,Москва,True
Руководитель проекта на строительный объект,150000.0,Просто Тент,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов (инженерные изыскания) Москва,60000.0,ГТО,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер на светотехнические расчеты (Без поиска),,Технолайт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Заместитель руководителя проекта (строительство, девелопмент недвижимости)",150000.0,Тройка Инжиниринг,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Специалист по работе с проектными организациями,150000.0,Московский кабель,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (инженерные системы),450000.0,Соинтем,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер инвестиционных проектов,100000.0,MPSTATS,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по развитию новых проектов в PR-агентство,60000.0,Полезные связи,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Тендерный специалист / Менеджер по тендерам / Менеджер проектов (наружная реклама),100000.0,ПРОМОСТОЙКА.РФ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager (MICE-мероприятия по зарубежью и РФ),100000.0,Бизнес Трэвел Джоб,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по продажам промышленного климатического оборудования (менеджер проектов),120000.0,Системэйр,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта (морская сейсморазведка),80000.0,МАГЭ,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов ( продажа медицинского оборудования),120000.0,МЕДГРЕЙД,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель ИТ-проектов (железнодорожная сфера, гибридный формат)",,Нумерал,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,scrum,Москва,True
Проектный менеджер (Светотехника)/заместитель директора по развитию региона,120000.0,Физтех-Энерго,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта (ГИП)/Руководитель проекта (ПИР),200000.0,АйДи Группа,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проекта (реконструкция), г.Тверь",250000.0,Наследие,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта (ГИП) / Руководитель проекта,200000.0,Apollax Space,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектно-технического отдела,200000.0,ГК ГРАНИТИНВЕСТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проекта (слаботочные системы), Норильск",150000.0,ПРОМТЕХ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (наружные инженерные сети),250000.0,Вентатех,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта по транспорту,,ТК,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов/направления в коммерческий отдел,120000.0,Комакс,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Заместитель Руководителя Центра международных проектов,120000.0,Ассоциация Волонтерских Центров,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель строительного проекта,,НОАТЕК,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер (удовлетворенность пользователей),,ANCOR,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проектов (маркетплейсы: WB, OZON)",170000.0,SR 366 (ИП Юшкевич Анастасия Сергеевна),Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Главный инженер проекта - ГИП, проектирование",150000.0,ProjectCityGroup,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Заместитель руководителя проекта (технический заказчик),,АНО СОЮЗЭКСПЕРТИЗА ТПП РФ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер отдела расчетов проектов по озеленению,70000.0,Элайвотек,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по продажам антикоррозионных покрытий/руководитель проектов,150000.0,Научно-производственный холдинг ВМП,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Свадебный организатор (менеджер проектов\координатор),50000.0,Novo Wed,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель строительного проекта,300000.0,Инвест Пром Групп,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов полевого сбора данных,100000.0,MillionAgents,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Marketing Project manager,1500.0,CLS Global,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта на инженерные сети,300000.0,Технология Строительства,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер кросс-промо проектов,,SOKOLOV,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектных продаж/руководитель проектов (стеллажные металлоконструкции),,ТехноВик,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов по ведению строительных объектов (магазины и офисы под ключ),200000.0,АрдиСтрой,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Key account manager(project manager) в автомобильном бизнесе,,Консалтинг энд Коачинг,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник руководителя архитектурного отдела / Менеджер проекта,100000.0,Архитектурное бюро МС Архитектс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта систем безопасности и пожаротушения,200000.0,Техно инжиниринг,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (сфера дизайн интерьера) / Менеджер по продажам,50000.0,Mandarinkomplekt,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта в службу заказчика (Руководитель проекта по проектированию),175000.0,Строительный холдинг Сенатор,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (сотовая связь),150000.0,Орбита,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер / Инвестиционный менеджер,200000.0,РН-Аэро,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель отдела по оптимизации бизнес-процессов / руководитель проектов,150000.0,Авакс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Координатор BTL-проектов,60000.0,Ритейл Навигатор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов (в издательство),80000.0,"ИНФРА-М, Группа Компаний",Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по сопровождению проектов в направление Продаж и маркетинга в “Северсталь”,,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (ОСР и отделка),250000.0,Главстрой (Москва),Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер отдела переводов международного холдинга ""ТрансЛинк"" / менеджер проекта",90000.0,Translink Group (ООО ГосПеревод),Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Трейд-маркетолог / Менеджер проектов по маркетингу (В2В),100000.0,Компания ZEMA,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер / ГИП / Руководитель проектов,130000.0,Террадек,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов 1С в аккредитованную IT компанию,200000.0,1С-АВТОМАТИЗАЦИЯ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер активных продаж/проектный менеджер,120000.0,Газобетон63.ру,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов/Прораб (Ремонт коммерческих помещений),150000.0,Алгрум,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Специалист по закупкам (помощник руководителя проектов),150000.0,Транспортный центр,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный архитектор проекта / руководитель проекта (проектирование),200000.0,Арх-и-Арт,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта (проектирование ЖК премиум-класса),350000.0,ПРОФИТ,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по сопровождению фандрайзинговых проектов,63000.0,Третьяковская галерея,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager (MICE-мероприятия по зарубежью и России),100000.0,Бизнес Трэвел Джоб,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель строительного проекта (производственно-складские объекты),200000.0,Поток-Монтаж,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер по продажам (строительные материалы, проектные продажи)",200000.0,Юнирбау,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель строительных проектов (ремонт коммерческих помещений),150000.0,ГК Стройкооператив,Среднее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта/технический специалист (сертификация),70000.0,ГК РусТехЭксперт,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Прораб / Руководитель проекта,170000.0,Бурченков Вячеслав Дмитриевич,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (нижнее заканчивание),300000.0,Группа Компаний Буран,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Сервис-менеджер (в проект по сервисному обслуживанию информационной инфраструктуры),100000.0,ДИСИ ИНЖИНИРИНГ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (сопровождение сделок по аренде складской и офисной недвижимости),130000.0,"Красное & Белое, розничная сеть",Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (Краснознаменск),,СтройКапиталИнвест,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (металлотрейдинг),200000.0,Айласов Нодарий Муразович,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Ведущий специалист/менеджер проекта в коммерческий отдел,120000.0,АМАКС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов маркетинговых коммуникаций,120000.0,Приватный курорт-отель Истра Холидей,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Главный специалист в отдел ""Управление проектами""",100000.0,Монарх-Укс,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта/Прораб,90000.0,ВТН Монтаж,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Заместитель руководителя проекта (ОВ, ВК, АУПТ)",130000.0,Воллмакс Констракшн,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер корпоративных продаж (IT-проекты, B2B, B2G)",290000.0,ГК Компьютеры и сети,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта оптовых продаж светотехнической продукции,500000.0,Компания Интервесп,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Проектная работа,Не указаны,Москва,True
Руководитель проектов (электроэнергетика),130000.0,Строй Монтаж Инжиниринг,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
РУКОВОДИТЕЛЬ ПРОЕКТА (металлоконструкции),120000.0,Стальные Решения,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (врач),,Кадровый Центр Департамента здравоохранения города Москвы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта на вентилируемый фасад,130000.0,АрдиСтрой,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта (продажи хлебопекарного и технологического оборудования),100000.0,БАЛТИК МАСТЕР М,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по развитию бизнеса / Руководитель проектов,120000.0,РусСибКонтроль,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта (ГИП),250000.0,Инфолэнд,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов по разработке технологий (направление металлы),150000.0,АО Мейджерпак Рус,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов/дизайнер (м. Преображенская площадь),100000.0,Компания Мария,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта по работе с маркетплейсами / Руководитель отдела E-commerce,300000.0,Омникс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник руководителя проекта / менеджер по продажам,70000.0,ЭКОДАР-ИПМ,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта/прораб (отделка деревянных домов),140000.0,Best Paints,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер химических проектов,100000.0,"Алабуга, ОЭЗ ППТ",Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник руководителя проекта в строительстве,70000.0,Альфа Групп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта по работе с маркетплейсами / Руководитель отдела E-commerce,150000.0,Бьюти корп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов в сфере госзакупок (оборудование),150000.0,Матрикс Инжиниринг Груп,Среднее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager / Менеджер по работе с блогерами / Media Buyer (Influence Marketing Manager),80000.0,Фейсес,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель строительных проектов (электроэнергетика),150000.0,Энергоресурс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Помощник Главного Инженера Проекта (ГИПа),80000.0,ПРОЕКТУС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проект менеджер (менеджер по продажам/закупкам) промышленного оборудования,70000.0,ЦЕНТР ФАРМАПАК,Среднее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов по эксплуатации БВС,250000.0,Глори Эйр,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер по проекту (бережливое производство),70000.0,Союзснаб,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектами по реализации металлопроката и производственного сервиса,85000.0,Русметпром,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта (ГИП) в службу заказчика,220000.0,АрхАнтика,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта (отделка квартир и деревянных домов),200000.0,Домоотделка,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Финансовый менеджер проекта (Египет, Эль-Дабаа)",170000.0,Фенсма,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов (холодильное оборудование),100000.0,Росспецхолод,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов / Главный специалист по обследованию,150000.0,СП-Эксперт,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта Отдела по благоустройству,,Московский центр развития спортивной инфраструктуры,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Главный инженер проекта/ГИП (геотехнические разделы)/Проектный менеджер,150000.0,ЮНИПРО,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Head of Project Management (fluent English),,Crystalia Glass LLC,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager / Проджект-менеджер (маркетплейс Ozon),70000.0,Концепта,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Менеджер по продажам, Дизайнер- консультант, Менеджер Проекта (мебель, интерьеры премиум класса )",150000.0,Эни Хоум,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
"Руководитель проекта (очистные сооружения, наружные сети)",230000.0,Строймонтаж,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер коммерческого отдела (Оптовые продажи),120000.0,Элди,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
