Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Координатор проектов департамента IT / Менеджер проектов / Project Manager,70000.0,Группа компаний ИАТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов в направление каршеринга,80000.0,Ucar,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер IT-проектов (Деловые коммуникации),,Тензор,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Новосибирск,True
Менеджер проектов,140000.0,Русская промышленная группа,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Координатор проектов (удаленно),60000.0,КИК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Пермь,True
Проектный менеджер/по работе с клиентами,100000.0,BookSpeaker.Agency,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,200000.0,Сыктывкар Тиссью Груп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,150000.0,Техно Ремонт,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,80000.0,Компания «ПОЗИТИВ»,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Саратов,True
Проектный менеджер,150000.0,Автогаз Инжиниринг,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер IT проектов (заказная разработка) / Project manager,,Тим,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара,True
Менеджер проекта / руководитель проектов,170000.0,Про-Сцена,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager / Куратор проектов CRM,60000.0,PinscherCRM,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер масштабных IT проектов,,Тензор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара,True
