Vacancy,Salary,Company,Education,English,WorkExperience,Certification,OperatingMode,ManagementMethods,Region
Менеджер проектов,100000.0,Трансмашприбор,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проектов,76000.0,Ovva,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum,Чебоксары
Менеджер проекта,180000.0,FinFort,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер IT-проектов,85000.0,LITEN,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов (Менеджер IT-проектов),100000.0,Веб-интегратор СПИЧКА,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта (строительство),150000.0,Здрасте Бар,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проект менеджер,100000.0,Ремонт РФ,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Казань
Project менеджер,150000.0,Коммуникационное агентство Pattern,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер,100000.0,Агентство событийного маркетинга Creativ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
DT Project Manager / Менеджер по внедрению бизнес-приложений Честный знак,260000.0,ARK,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,agile; waterfall,Москва
Менеджер проектов,50000.0,АНО Фирон,Не требуется,Не требуется,Нет опыта,Не указано,Проектная работа,Не указаны,Ростов-на-Дону
Менеджер проектов (Менеджер IT-проектов),100000.0,Веб-интегратор СПИЧКА,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проекта,100000.0,ЛЕДАЛЕН,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
