Vacancy,Salary,Company,Education,English,WorkExperience,Certification,OperatingMode,ManagementMethods,Region
Руководитель проектов,150000.0,РэилМатик,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Проектный менеджер в отделе продаж,50000.0,ОСК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Аналитик бизнес-процессов\Project manager,104000.0,Агентство судебного взыскания,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ассистент тренинг-менеджера (проект Gillette),100000.0,ANCOR,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Онлайн менеджер тревел проекта,40000.0,MultiRiders,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Проектный менеджер по ремонту квартир,60000.0,Ваш Дом Спб,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник руководителя проектов,65000.0,ФРОТЕЛЛИ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Региональный менеджер проекта,85000.0,Лидер Групп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Инженер по продажам / Менеджер проекта,80000.0,Пневмотех,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель группы ПТО и ПП/Заместитель руководителя проектов,170000.0,Промстроймонтаж,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (малоэтажное строительство),120000.0,Таймас-групп,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов (по железнодорожному транспорту),80000.0,Еврожелдорстрой,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Руководитель проектов по производству РУНН, КРУ, КТП, БКТП",150000.0,ПО Энергосистема,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
SEO-специалист/ Старший SEO- копирайтер- менеджер крупного контент- проекта,70000.0,Ленремонт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по реализации проектов и работе с клиентами. Согласование вывесок.,50000.0,Консалтинговая группа СЕВЕР,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектных продаж,85000.0,ЭТИС - СЗПК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер зарплатного проекта,80000.0,LCG Recruiting,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта по продажам,120000.0,Работа в Дом.ру,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по продажам / руководитель проектов по металорежущему оборудованию,100000.0,Армия Кадров,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по продажам веб-проектов (1С-Битрикс),80000.0,Первый Бит,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Клиентский менеджер зарплатных проектов,100000.0,Совкомбанк,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ассистент отдела предпроектной подготовки,100000.0,ARSKA Technologies,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по продажам/Менеджер проекта,70000.0,Армалит. Гражданское судостроение,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Фитодизайнер/озеленитель/руководитель проектов по озеленению,55000.0,Флауэр бар,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель строительных проектов,120000.0,ССГ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по продажам / проектный менеджер в digital маркетинг,80000.0,Piterstory.team,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Руководитель проектов, направление BIM",150000.0,АСКОН,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,kanban; scrum; waterfall,Санкт-Петербург
"Руководитель строительных проектов (госзаказ, ремонт/реконструкция админ./социальных объектов)",100000.0,АРЕС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Главный инженер проекта / прораб / руководитель проекта,130000.0,МетроСпецСтрой,Не требуется,Не требуется,Более 6 лет,Не указано,Частичная занятость,Не указаны,Санкт-Петербург
Менеджер строительных проектов (начинающий специалист/Junior),45000.0,Сириус,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (строительство),118000.0,ППК Единый заказчик,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Помощник руководителя проекта НО ""ТИВ"" (испытания железнодорожной техники)",60000.0,"ТрансМашХолдинг, Группа компаний",Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Специалист сопровождения проектов,100000.0,Гермес Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Заместитель руководителя проекта/начальник участка,150000.0,АЗ ТЕМП,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Старший менеджер проектов В2В,85000.0,МТС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектных продаж,100000.0,Торговый Дом Петербург,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,130000.0,Группа компаний ВЕЗУ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (корабельные комплексы),101500.0,Концерн Гранит-Электрон,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта Ароматика (МП),75000.0,Мона Ингредиентс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник руководителя (с функциями проектного менеджера),70000.0,Центр медицинской косметологии Оксаны Волковой,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник руководителя проекта,60000.0,СМТ,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта по запуску нефтехимических производств,100000.0,"Алабуга, ОЭЗ ППТ",Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Управляющий проектами по новостройкам в сегменте Бизнес и Элит,200000.0,Мир квартир - Элит,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Главный менеджер отдела развития зарплатных проектов,100000.0,Россельхозбанк,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер зарплатного проекта (персонал),70000.0,ЛИДЕР КОНСАЛТ персонал,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Инженер-проектировщик,50000.0,Проектно-Строительная Мастерская,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов по поставкам вычислительной техники,130000.0,РАМЭК - ВС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ведущий специалист проектно-сметного отдела,102907.0,Филиал Аэронавигация Северо-Запада ФГУП Госкорпорация по ОрВД,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ведущий менеджер по специальным проектам,100000.0,ПЕНОПЛЭКС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ведущий менеджер проектных продаж (IT),100000.0,Первый Бит,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Главный инженер проекта ( КЖ, КМ, КР) / Фундаменты и Основания Технологического Оборудования",160000.0,Advantica Recruitment | Advantica Automation,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Главный инженер проектов АТХ, АСУТП / Системы управления промышленным технологическим оборудованием",150000.0,Advantica Recruitment | Advantica Automation,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Специалист зарплатного проекта,70000.0,LCG Recruiting,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов по сервису на паровых и газовых турбинах,85000.0,Русь-Турбо,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Администратор проектов,80000.0,ПРОФЭНЕРГО,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (технологическое оборудование),150000.0,Эн-Системс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов меблировки интерьеров (офис),150000.0,Холдинг Первая мебельная фабрика,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (ИТ),120000.0,АИРТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектных продаж в отрасли Нефтегаз,189000.0,"ЭТМ, компания",Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник руководителя проекта (помощник ГИПа),99000.0,Энергоформ,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель строительного проекта,160000.0,РостПромСтрой,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель IT-проектов (1С),100000.0,Ситек,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,150000.0,Дом Строй Инвест,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер отдела закупок в проект ВкусМил,50000.0,ВкусВилл,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (АСУ ТП),150000.0,Системлинк,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Заместитель главного инженера проекта (ГИП) (объект ""Ржевка"")",130500.0,ГК ГЕОИЗОЛ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (Департамент заказчика),250000.0,Группа ЦДС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Руководитель строительного проекта (тепловые сети, водоснабжение, водоотведение)",180000.0,РостПромСтрой,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер продукта в девелоперский проект/маркетолог,100000.0,ProRealtor,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (электрика),100000.0,Иви-Тайм,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,250000.0,Кей Групп,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов по внедрению государственных информационных систем,150000.0,Ростелеком,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов отделочных работ,180000.0,УК АРКО,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер интернет-проекта / WEB - администратор,130000.0,Книт,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,130000.0,Энерджи,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по реализации рекламных проектов и брендированию транспорта,80000.0,"Мастер Ин, рекламное агентство",Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов фотостудии,35000.0,Седова Ольга Вадимовна,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (менеджер по продажам B2B),70000.0,ТехноСтиль,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник руководителя проектов \ Ассистент проектного отдела,50000.0,Газтеплосервис,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,150000.0,ДорСтройАльянс,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта 1С,300000.0,"Assino, Группа компаний",Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; waterfall,Санкт-Петербург
Руководитель направления на проекте Арктик СПГ-2 (электромонтажные работы),174000.0,СНЭМА- СЕРВИС,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта реконструкции сетей наружного освещения,150000.0,АРЕС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта по механомонтажным работам,180000.0,СНЭМА- СЕРВИС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов строительства,150000.0,Studia 54,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Инженер проектов/менеджер по работе с проектными организациями,120000.0,Гидроизоляционные инженерные сооружения,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер IT-проектов (Бухгалтерия),100000.0,Тензор,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (руководитель направления),140000.0,Астэкс,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Главный специалист проектного офиса_(ID:01_28),111200.0,Россети Ленэнерго,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по развитию зарплатных проектов,100000.0,Т-Банк,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта/Главный аналитик цифровой трансформации,140000.0,СПб ГКУ Управление информационных технологий и связи,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (строительство),80000.0,Газпром газомоторное топливо,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Специалист по продажам корпоративных проектов (с экспертизой в 1С ERP),200000.0,СофтБаланс,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Координатор проекта внешней кооперации,120000.0,"СтарЛайн, Научно-производственное объединение",Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по работе с проектными институтами,130000.0,Job Offer,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов (строительство объектов связи),80000.0,РТК-Сервис,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта ГОЗ,100000.0,Институт телекоммуникаций,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ответственный исполнитель проекта,100000.0,Институт телекоммуникаций,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта строительства,200000.0,ЕВРОИНВЕСТ ДЕВЕЛОПМЕНТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта (транспорт),130000.0,Деловые Линии,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель строительного проекта (Заказчик-Застройщик),290000.0,Сэтл Строй,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов НИОКР,80000.0,Специальный Технологический Центр (ООО СТЦ),Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Middle+ Project Manager в отдел Influence-маркетинга,50000.0,uForce,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ведущий инженер проектов НИОКР (БЛА),80000.0,Специальный Технологический Центр (ООО СТЦ),Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов службы заказчика,120000.0,Стратегия Рост,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник главного инженера проекта,90000.0,РэилМатик,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта по монтажу строительных металлоконструкций (г. Екатеринбург),250000.0,КМ-Центр,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта / бригадир электромонтажников,130000.0,Энерджи Нетворк+,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель ИТ проекта,100000.0,Кадровое агентство Алексея Сухорукова,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Менеджер проекта (услуги по металлообработке, промышленное оборудование, детали)",80000.0,АРЕС,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта/Главный специалист в отдел исполнения контрактов,110000.0,АРАКО,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер запуска проекта,200000.0,Промоушен.ру,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов слаботочных систем,100000.0,ГК ПАТРИОТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (направление ИТСО),160000.0,Эрланг Северо-Запад,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ведущий менеджер / руководитель спортивных проектов,80000.0,ЭкспоФорум Интернэшнл,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер благотворительных проектов,35000.0,Благотворительный фонд Банк еды Русь,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов,130000.0,Завод Реголит,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов по развитию сети,110000.0,ОБИТ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (строительство),100000.0,ПСК Гарант,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Помощник главного инженера проекта (ГИПа),100000.0,Мегаполис,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Бизнес-аналитик / Менеджер IT проектов (Битрикс24),60000.0,ДЕРИГО,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (B2C),100000.0,КлеверПарк,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта повышения производительности труда,200000.0,Komplimata,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Проектная работа,Не указаны,Санкт-Петербург
Руководитель проектов по маркетплейсам,120000.0,Глобал Трейд Солюшнс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (проектные продажи),100000.0,ЭКМ Холдинг,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,180000.0,Турбоэнергоремонт,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Начальник отдела-руководитель проекта,50000.0,"Алабуга, ОЭЗ ППТ",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по работе с проектными институтами,100000.0,ЭКМ Холдинг,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (строительство объектов газоснабжения),180000.0,Геосфера-МК,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (строительство),120000.0,ПромДорАкустика,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта по тендерному сопровождению/Руководитель тендерного отдела,100000.0,Нева Тендер,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Финансовый менеджер строительных проектов,100000.0,ГК АБЗ-1,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,100000.0,Равенство,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Главный инженер проекта,150000.0,ИСС,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Главный инженер проекта (ГИП) / Руководитель проекта / Комплексный ГИП,140000.0,СтройЭксперт,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Специалист по коммуникациям и маркетингу (Руководитель проектов отдела продвижения),90000.0,ЭкспоФорум Интернэшнл,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Управляющий / руководитель проекта,110000.0,Автомоечный комплекс Н2О,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер лизинговых проектов,50000.0,Элемент Лизинг,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов по информационной безопасности,150000.0,Россети Управление Имуществом,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
SMM Project-менеджер,60000.0,9/8 Project,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (Технолог мебельного производства ),100000.0,Каретина Наталья Борисовна,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Ассистент руководителя проектов,60000.0,Андреев Алексей,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта (в строительстве),130000.0,ТОК,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Координатор-менеджер проектов/ведущий специалист тендерного отдела,80000.0,МедИнж-СевероЗапад,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по развитию проекта,150000.0,Antal Talent,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,150000.0,РостПромСтрой,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по управлению проектами технологического оборудования (нефтехимия),180000.0,Колтакова Татьяна Витальевна,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта в Управление организации сервиса,55000.0,Климов,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (проектирование),175000.0,Компания ПроектЭнергоИнжиниринг,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Project lead (автор курсов),125000.0,Skyeng,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Частичная занятость,Не указаны,Санкт-Петербург
Менеджер по продажам оборудования металообработки / Менеджер проекта (станки Китай/Германия),100000.0,Армия Кадров,Не требуется,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта в Отдел сопровождения заводских ремонтов ( Управление сервиса),58000.0,Климов,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Project manager-SMM,65000.0,Ingate,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Marketing Project Manager,1500.0,Step.App,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Менеджер по персоналу (удаленно, проект)",60000.0,Хорошая связь,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Проектная работа,Не указаны,Санкт-Петербург
Главный инженер проекта,170000.0,Развитие Территорий,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
